Geneid	Length	1kcell	dome1	dome2
ENSDARG00000095877	672	0	0	0
ENSDARG00000095650	742	0	0	0
ENSDARG00000071152	1842	31	17	32
ENSDARG00000063313	2959	12	28	26
ENSDARG00000079185	882	0	0	0
ENSDARG00000078178	1142	0	0	0
ENSDARG00000002797	845	0	0	0
ENSDARG00000044937	740	0	0	0
ENSDARG00000089602	5697	0	0	0
ENSDARG00000093487	745	0	0	0
ENSDARG00000106254	188	0	0	0
ENSDARG00000014320	4598	2	0	0
ENSDARG00000038398	763	6	8	21
ENSDARG00000074607	4017	0	0	0
ENSDARG00000044235	5135	0	0	0
ENSDARG00000060655	5118	0	0	0
ENSDARG00000058700	1568	0	0	0
ENSDARG00000097588	365	0	0	0
ENSDARG00000093476	5501	0	0	0
ENSDARG00000095739	1003	0	0	0
ENSDARG00000097364	1053	0	0	0
ENSDARG00000079245	3050	0	0	0
ENSDARG00000095076	782	0	0	0
ENSDARG00000078832	6206	0	0	0
ENSDARG00000096831	279	0	0	0
ENSDARG00000052255	2042	0	0	0
ENSDARG00000098540	4397	26	16	48
ENSDARG00000041317	1899	18	28	58
ENSDARG00000076106	2037	0	0	0
ENSDARG00000054153	4920	0	0	0
ENSDARG00000093263	1068	0	0	0
ENSDARG00000069514	3898	0	0	0
ENSDARG00000106829	2611	0	0	0
ENSDARG00000059805	1500	3	2	0
ENSDARG00000073901	5035	0	0	0
ENSDARG00000107409	1009	0	0	0
ENSDARG00000093029	747	0	0	0
ENSDARG00000100167	776	0	0	0
ENSDARG00000102590	1308	12	7	52
ENSDARG00000102795	1848	358	108	164
ENSDARG00000098103	2014	28	27	59
ENSDARG00000092778	3403	0	0	0
ENSDARG00000001014	6095	180	144	284
ENSDARG00000106221	520	0	0	0
ENSDARG00000034777	1236	10	14	20
ENSDARG00000093384	740	0	0	0
ENSDARG00000083165	122	0	0	0
ENSDARG00000089312	741	0	0	0
ENSDARG00000058958	1722	8	2	14
ENSDARG00000093859	1159	0	0	1
ENSDARG00000043002	1414	0	0	0
ENSDARG00000104825	1584	22	51	75
ENSDARG00000052097	2720	2	2	0
ENSDARG00000099503	833	0	0	0
ENSDARG00000098843	3230	0	0	0
ENSDARG00000089185	954	0	0	0
ENSDARG00000100246	1909	0	0	0
ENSDARG00000027360	1476	0	2	2
ENSDARG00000015111	1587	1092	1563	3145
ENSDARG00000017720	3076	0	0	0
ENSDARG00000085478	124	0	0	0
ENSDARG00000088795	2922	0	0	0
ENSDARG00000062748	3249	40	16	38
ENSDARG00000098850	853	2	4	6
ENSDARG00000058848	1838	0	0	0
ENSDARG00000108888	583	0	0	0
ENSDARG00000084991	136	0	0	0
ENSDARG00000040067	1794	0	0	0
ENSDARG00000102467	1540	0	0	0
ENSDARG00000108320	182	0	0	0
ENSDARG00000107730	353	0	0	0
ENSDARG00000102010	654	0	0	0
ENSDARG00000103154	1614	0	0	0
ENSDARG00000104099	1499	0	0	0
ENSDARG00000089713	2623	0	0	0
ENSDARG00000102306	4519	0	0	0
ENSDARG00000102219	3140	0	0	0
ENSDARG00000103806	1849	0	2	0
ENSDARG00000104113	1710	0	0	0
ENSDARG00000099312	1302	362	232	499
ENSDARG00000102741	869	79	76	138
ENSDARG00000098679	2074	42	47	73
ENSDARG00000098871	4213	34	2	18
ENSDARG00000099126	282	0	0	0
ENSDARG00000104174	3485	0	0	0
ENSDARG00000106006	439	0	0	0
ENSDARG00000100617	777	0	0	0
ENSDARG00000098397	5627	0	0	0
ENSDARG00000102856	916	8	2	0
ENSDARG00000099371	6681	0	0	0
ENSDARG00000088145	1517	20	8	18
ENSDARG00000088789	7517	0	12	6
ENSDARG00000099172	1068	0	0	1
ENSDARG00000102411	873	4	3	0
ENSDARG00000103530	3249	6	21	39
ENSDARG00000086831	4857	6	0	4
ENSDARG00000105074	1398	25	29	19
ENSDARG00000098122	1352	13	4	25
ENSDARG00000106349	6247	2	4	7
ENSDARG00000103450	1496	1	0	6
ENSDARG00000089947	1212	3	6	17
ENSDARG00000099082	798	9	7	16
ENSDARG00000107624	3103	16	10	36
ENSDARG00000102658	1346	14	12	13
ENSDARG00000103222	1467	4	13	23
ENSDARG00000091679	2479	0	3	5
ENSDARG00000098923	1178	2	1	4
ENSDARG00000094216	726	1	4	11
ENSDARG00000100803	4041	12	19	80
ENSDARG00000104611	1731	40	21	65
ENSDARG00000104985	801	0	0	0
ENSDARG00000100796	906	0	1	3
ENSDARG00000102401	1570	0	4	0
ENSDARG00000100309	2287	2	19	39
ENSDARG00000090740	798	3	12	12
ENSDARG00000103777	2493	0	18	45
ENSDARG00000102240	1516	17	12	17
ENSDARG00000103413	1608	0	0	0
ENSDARG00000104773	1405	0	2	2
ENSDARG00000109090	681	0	0	0
ENSDARG00000099235	4711	246	134	212
ENSDARG00000039309	1164	0	0	0
ENSDARG00000104178	1527	106	157	214
ENSDARG00000100508	3959	396	358	809
ENSDARG00000102303	1619	0	0	0
ENSDARG00000101055	1464	0	0	0
ENSDARG00000099684	1848	4	2	0
ENSDARG00000102368	1589	0	0	0
ENSDARG00000102264	1516	0	0	0
ENSDARG00000100721	1513	0	0	0
ENSDARG00000100373	1015	0	0	0
ENSDARG00000099639	2153	0	0	0
ENSDARG00000101136	122	0	0	0
ENSDARG00000101263	465	0	0	0
ENSDARG00000100038	1050	0	0	0
ENSDARG00000105044	866	0	0	0
ENSDARG00000039108	2189	0	0	0
ENSDARG00000104193	666	0	0	0
ENSDARG00000100364	792	0	3	4
ENSDARG00000094959	906	0	0	0
ENSDARG00000040433	2113	0	0	2
ENSDARG00000009874	1562	0	0	0
ENSDARG00000033071	1387	0	0	0
ENSDARG00000097075	353	0	0	0
ENSDARG00000074310	1821	6	6	11
ENSDARG00000106182	117	0	0	0
ENSDARG00000039935	3721	0	0	0
ENSDARG00000090575	1520	0	0	4
ENSDARG00000109044	331	0	0	0
ENSDARG00000103564	2651	0	0	0
ENSDARG00000100148	210	0	0	0
ENSDARG00000108915	426	0	0	0
ENSDARG00000106224	490	0	0	0
ENSDARG00000098157	554	0	0	2
ENSDARG00000107125	320	0	0	0
ENSDARG00000106800	1396	0	0	0
ENSDARG00000100147	68	0	0	0
ENSDARG00000098961	149	0	0	0
ENSDARG00000100820	151	0	0	0
ENSDARG00000100756	149	0	0	0
ENSDARG00000104565	101	0	0	0
ENSDARG00000101810	107	0	0	0
ENSDARG00000101152	107	0	0	0
ENSDARG00000104623	107	0	0	0
ENSDARG00000098846	107	0	0	0
ENSDARG00000098109	107	0	0	0
ENSDARG00000098756	107	0	0	0
ENSDARG00000104321	107	0	0	0
ENSDARG00000100650	107	0	0	0
ENSDARG00000100042	107	0	0	0
ENSDARG00000099071	107	0	0	0
ENSDARG00000101439	107	0	0	0
ENSDARG00000101086	107	0	0	0
ENSDARG00000100355	1594	0	0	15
ENSDARG00000015853	1465	342	440	1070
ENSDARG00000102286	4333	28	10	56
ENSDARG00000090501	747	0	0	0
ENSDARG00000079170	1881	0	0	0
ENSDARG00000024317	3274	120	119	276
ENSDARG00000104148	12223	554	520	930
ENSDARG00000103847	1961	0	4	2
ENSDARG00000107138	2920	0	0	0
ENSDARG00000088351	118	0	0	0
ENSDARG00000097649	1257	4	0	0
ENSDARG00000108544	1750	0	0	0
ENSDARG00000075985	3942	0	0	0
ENSDARG00000044938	2141	436	639	930
ENSDARG00000095909	818	0	0	0
ENSDARG00000099576	119	0	0	0
ENSDARG00000084878	123	0	0	0
ENSDARG00000058819	2143	0	7	5
ENSDARG00000101154	1172	0	0	0
ENSDARG00000073985	878	16	19	30
ENSDARG00000087687	915	0	0	0
ENSDARG00000108702	966	0	2	0
ENSDARG00000034060	3209	302	82	132
ENSDARG00000063583	1615	54	30	43
ENSDARG00000088981	839	2	0	6
ENSDARG00000096854	1862	0	0	0
ENSDARG00000106482	518	0	0	0
ENSDARG00000097468	865	0	0	0
ENSDARG00000007787	1436	0	0	0
ENSDARG00000088051	3074	0	0	2
ENSDARG00000101863	3221	0	0	0
ENSDARG00000087751	705	2	1	0
ENSDARG00000104921	834	0	0	0
ENSDARG00000100161	2094	0	0	0
ENSDARG00000107513	181	0	1	0
ENSDARG00000101711	1446	0	0	0
ENSDARG00000101622	1030	2	10	28
ENSDARG00000102578	1387	30	34	30
ENSDARG00000101655	2372	0	1	0
ENSDARG00000101656	795	0	0	0
ENSDARG00000108346	262	0	0	0
ENSDARG00000100399	834	0	0	0
ENSDARG00000105907	441	0	0	0
ENSDARG00000100113	1864	0	0	0
ENSDARG00000105880	2604	0	0	0
ENSDARG00000107300	177	0	0	0
ENSDARG00000104677	495	0	0	0
ENSDARG00000104428	2146	0	4	5
ENSDARG00000040387	1781	64	42	141
ENSDARG00000074752	2683	8	10	16
ENSDARG00000107658	441	0	0	0
ENSDARG00000011609	3489	234	216	396
ENSDARG00000089616	2950	46	44	88
ENSDARG00000058494	2902	148	66	188
ENSDARG00000078452	1708	30	40	77
ENSDARG00000058508	3678	4	0	6
ENSDARG00000099955	3646	78	26	46
ENSDARG00000100232	2137	0	0	0
ENSDARG00000102822	598	2	2	4
ENSDARG00000102565	3805	0	0	0
ENSDARG00000105046	3414	8	40	79
ENSDARG00000100524	7152	110	44	126
ENSDARG00000104593	2335	0	6	0
ENSDARG00000098995	2492	0	0	0
ENSDARG00000101632	1692	0	0	0
ENSDARG00000101861	3437	0	0	0
ENSDARG00000105151	1540	0	0	0
ENSDARG00000104529	1806	0	0	0
ENSDARG00000102981	2304	0	0	0
ENSDARG00000101190	1954	0	2	2
ENSDARG00000098570	1295	0	0	1
ENSDARG00000102230	668	0	0	0
ENSDARG00000103555	916	0	0	0
ENSDARG00000104389	1323	0	2	0
ENSDARG00000102472	5236	0	6	4
ENSDARG00000104024	1833	48	64	66
ENSDARG00000098578	2363	0	2	0
ENSDARG00000103800	1492	42	39	64
ENSDARG00000098642	539	3	10	22
ENSDARG00000109030	2898	22	6	24
ENSDARG00000055350	4208	199	110	286
ENSDARG00000074231	1678	4	0	0
ENSDARG00000106024	1200	0	0	0
ENSDARG00000107399	688	0	0	0
ENSDARG00000081477	98	0	0	0
ENSDARG00000083181	88	0	0	0
ENSDARG00000082125	81	0	0	0
ENSDARG00000003270	2267	88	116	194
ENSDARG00000062537	542	0	0	0
ENSDARG00000058020	1905	17	4	16
ENSDARG00000098162	1557	0	0	0
ENSDARG00000100498	5042	0	0	0
ENSDARG00000100385	4829	10	6	8
ENSDARG00000104841	2488	0	0	0
ENSDARG00000100376	1971	92	52	150
ENSDARG00000102609	633	0	0	0
ENSDARG00000100411	507	0	0	0
ENSDARG00000103509	361	0	0	0
ENSDARG00000104173	1784	132	140	214
ENSDARG00000102937	1877	12	12	22
ENSDARG00000103642	1611	0	0	0
ENSDARG00000102436	8359	8	0	0
ENSDARG00000104847	6114	0	0	2
ENSDARG00000105177	4069	580	953	1719
ENSDARG00000098825	1884	54	72	182
ENSDARG00000099695	4785	0	0	2
ENSDARG00000103187	1226	12	30	52
ENSDARG00000098831	2696	24	0	6
ENSDARG00000022185	2484	4	0	0
ENSDARG00000043237	2022	0	0	0
ENSDARG00000087188	2475	0	2	10
ENSDARG00000097615	7057	24	18	46
ENSDARG00000108560	1194	0	0	0
ENSDARG00000108393	795	0	0	0
ENSDARG00000091318	119	0	0	0
ENSDARG00000108521	2532	0	0	0
ENSDARG00000097099	571	0	0	0
ENSDARG00000101478	2290	2	0	8
ENSDARG00000098224	4321	6	8	24
ENSDARG00000100532	428	0	0	0
ENSDARG00000102398	1080	2	0	1
ENSDARG00000099453	1232	102	198	263
ENSDARG00000100677	2247	40	10	24
ENSDARG00000101534	1647	50	46	74
ENSDARG00000090834	4820	0	0	0
ENSDARG00000093423	1227	10	12	12
ENSDARG00000093469	2244	153	60	100
ENSDARG00000025757	1747	8	2	6
ENSDARG00000062757	3009	167	66	134
ENSDARG00000039338	1448	42	68	114
ENSDARG00000061836	3229	4	3	7
ENSDARG00000108236	117	0	0	0
ENSDARG00000088390	3297	8	9	28
ENSDARG00000041217	4303	846	274	670
ENSDARG00000041223	1510	22	6	24
ENSDARG00000092458	1087	0	0	0
ENSDARG00000044767	2085	0	0	0
ENSDARG00000027749	2104	564	154	216
ENSDARG00000044769	2087	6	4	6
ENSDARG00000076052	6371	0	0	0
ENSDARG00000075813	1944	0	0	0
ENSDARG00000028485	1264	0	0	0
ENSDARG00000015310	1839	152	210	368
ENSDARG00000057679	4305	71	38	55
ENSDARG00000011597	3732	771	477	847
ENSDARG00000100334	1420	0	0	0
ENSDARG00000070845	1398	0	2	2
ENSDARG00000011925	2609	390	424	700
ENSDARG00000011360	1441	73	28	54
ENSDARG00000002339	1637	84	14	33
ENSDARG00000094557	794	0	0	0
ENSDARG00000078736	2066	2	0	0
ENSDARG00000090026	816	2	0	15
ENSDARG00000092816	3319	48	65	89
ENSDARG00000094328	1765	13	8	19
ENSDARG00000026453	4404	333	211	345
ENSDARG00000057707	2097	378	150	332
ENSDARG00000093219	659	0	0	0
ENSDARG00000081299	1010	0	0	2
ENSDARG00000021242	3150	84	80	240
ENSDARG00000057414	1763	132	170	340
ENSDARG00000094116	447	1	0	0
ENSDARG00000062302	3102	164	26	40
ENSDARG00000008403	2098	0	11	18
ENSDARG00000038281	3246	36	96	188
ENSDARG00000070866	1327	187	110	332
ENSDARG00000075726	1232	4	2	5
ENSDARG00000079616	4855	62	44	71
ENSDARG00000034427	2146	847	606	1060
ENSDARG00000062531	5523	7	19	66
ENSDARG00000100990	1190	4	6	9
ENSDARG00000057910	1018	78	26	66
ENSDARG00000077737	5071	22	8	6
ENSDARG00000057853	1629	168	174	350
ENSDARG00000097378	648	0	2	0
ENSDARG00000097322	656	0	0	2
ENSDARG00000057867	2468	274	32	79
ENSDARG00000035719	1572	44	134	171
ENSDARG00000002167	2917	22	10	64
ENSDARG00000013307	975	172	269	352
ENSDARG00000093569	2042	8	10	20
ENSDARG00000021195	4582	0	0	6
ENSDARG00000077563	1748	2	0	0
ENSDARG00000107309	116	0	0	0
ENSDARG00000012261	3380	258	395	799
ENSDARG00000062618	2743	0	0	0
ENSDARG00000073998	2498	0	0	0
ENSDARG00000057984	2061	0	0	0
ENSDARG00000007129	4614	30	18	44
ENSDARG00000016480	1820	0	0	0
ENSDARG00000093118	648	0	0	0
ENSDARG00000106079	179	0	0	0
ENSDARG00000013161	2233	380	466	701
ENSDARG00000027689	3561	292	232	420
ENSDARG00000016875	2731	97	15	33
ENSDARG00000038297	992	0	0	0
ENSDARG00000038296	2782	0	0	0
ENSDARG00000076186	920	0	0	0
ENSDARG00000093186	2115	0	0	0
ENSDARG00000015922	3459	120	93	139
ENSDARG00000092120	978	0	4	10
ENSDARG00000094883	840	0	0	0
ENSDARG00000020847	3741	134	40	42
ENSDARG00000076411	2156	0	0	0
ENSDARG00000022712	3122	120	130	202
ENSDARG00000019392	2626	9	5	10
ENSDARG00000062575	4203	55	34	38
ENSDARG00000095646	387	0	0	0
ENSDARG00000070932	483	0	0	4
ENSDARG00000062565	6683	0	0	0
ENSDARG00000026712	2593	364	192	332
ENSDARG00000104734	6815	134	192	332
ENSDARG00000089463	3669	2	0	0
ENSDARG00000058154	4891	42	6	26
ENSDARG00000027469	2666	0	0	0
ENSDARG00000052594	2395	15	2	10
ENSDARG00000058148	4259	476	488	790
ENSDARG00000058140	1815	0	0	0
ENSDARG00000070822	3438	839	404	692
ENSDARG00000099079	5219	204	74	79
ENSDARG00000009040	1474	0	10	12
ENSDARG00000027461	2569	78	26	34
ENSDARG00000076490	3018	26	22	30
ENSDARG00000013460	1944	0	0	1
ENSDARG00000107147	1080	0	0	0
ENSDARG00000097021	912	0	0	0
ENSDARG00000106889	1132	0	2	0
ENSDARG00000032619	2279	388	364	612
ENSDARG00000094165	1263	0	0	0
ENSDARG00000094871	966	0	0	0
ENSDARG00000105157	4649	0	0	0
ENSDARG00000074531	4761	28	10	44
ENSDARG00000005254	2422	538	647	1021
ENSDARG00000093074	1099	0	0	0
ENSDARG00000077291	1457	158	331	564
ENSDARG00000028889	733	8	18	12
ENSDARG00000090714	2929	4	2	7
ENSDARG00000036994	2892	139	72	151
ENSDARG00000099441	3191	12	4	6
ENSDARG00000087327	2763	44	13	11
ENSDARG00000089749	998	0	0	0
ENSDARG00000062263	1904	51	49	95
ENSDARG00000092455	1370	44	28	81
ENSDARG00000019932	2405	0	0	2
ENSDARG00000076103	6924	0	0	2
ENSDARG00000038243	2361	127	62	141
ENSDARG00000038242	2916	6	10	2
ENSDARG00000062216	3874	44	14	28
ENSDARG00000097552	815	0	0	0
ENSDARG00000025338	1767	8	16	10
ENSDARG00000031657	990	10	14	20
ENSDARG00000025436	3290	60	96	148
ENSDARG00000038239	6332	1638	1780	3064
ENSDARG00000088560	5612	64	40	80
ENSDARG00000082853	118	0	0	0
ENSDARG00000108712	117	0	0	0
ENSDARG00000082823	123	0	0	0
ENSDARG00000093192	2104	64	24	30
ENSDARG00000078149	5668	0	0	0
ENSDARG00000005883	3598	0	0	0
ENSDARG00000070780	721	0	0	0
ENSDARG00000097324	197	0	0	0
ENSDARG00000074850	4891	46	20	26
ENSDARG00000077226	5898	974	1241	2575
ENSDARG00000029476	5061	0	2	0
ENSDARG00000106019	117	0	0	0
ENSDARG00000085884	128	0	0	0
ENSDARG00000075380	2971	258	302	483
ENSDARG00000081972	99	0	2	0
ENSDARG00000093622	1602	171	60	84
ENSDARG00000040526	2443	0	14	34
ENSDARG00000056798	2671	0	0	0
ENSDARG00000056791	1229	0	0	0
ENSDARG00000031534	4327	0	0	0
ENSDARG00000101990	1910	0	0	0
ENSDARG00000101956	1495	0	0	0
ENSDARG00000056773	1733	0	0	0
ENSDARG00000056768	1353	0	0	0
ENSDARG00000056767	2607	2	0	0
ENSDARG00000008105	1475	188	242	435
ENSDARG00000010779	4080	856	350	618
ENSDARG00000078135	4996	2	2	8
ENSDARG00000099809	361	0	0	0
ENSDARG00000070735	1214	2	0	0
ENSDARG00000056481	4318	179	67	87
ENSDARG00000103072	837	0	0	0
ENSDARG00000056468	1705	2	0	7
ENSDARG00000056467	1262	16	13	31
ENSDARG00000029331	2313	50	12	25
ENSDARG00000035066	4530	499	685	1014
ENSDARG00000102428	622	0	0	6
ENSDARG00000012881	4203	2	2	6
ENSDARG00000089936	1155	2	0	6
ENSDARG00000038228	2711	168	192	322
ENSDARG00000088708	9139	0	1	0
ENSDARG00000070694	884	0	0	0
ENSDARG00000100519	2548	134	34	49
ENSDARG00000107318	116	0	0	0
ENSDARG00000104512	1704	0	0	0
ENSDARG00000099499	709	266	394	563
ENSDARG00000038213	2578	64	33	53
ENSDARG00000078640	4329	46	6	20
ENSDARG00000007245	2358	0	0	0
ENSDARG00000101826	4101	2	0	4
ENSDARG00000026875	3474	167	36	59
ENSDARG00000006566	4970	139	159	270
ENSDARG00000087330	2695	222	108	99
ENSDARG00000090988	1136	10	10	20
ENSDARG00000070686	1563	122	106	166
ENSDARG00000074899	7873	720	398	810
ENSDARG00000056324	1710	0	0	4
ENSDARG00000046140	1148	4	3	6
ENSDARG00000097774	1199	0	0	4
ENSDARG00000061858	1240	2	0	2
ENSDARG00000007344	1190	0	0	0
ENSDARG00000002564	1366	2	8	7
ENSDARG00000075249	4491	24	10	22
ENSDARG00000018687	3760	0	0	2
ENSDARG00000097315	778	0	0	0
ENSDARG00000105007	708	0	0	0
ENSDARG00000081613	121	0	0	0
ENSDARG00000003989	9998	4	4	12
ENSDARG00000097409	888	0	3	2
ENSDARG00000075428	1154	0	0	0
ENSDARG00000056258	5157	1385	908	1513
ENSDARG00000088238	7092	120	24	70
ENSDARG00000087616	7524	0	2	0
ENSDARG00000011519	1199	0	0	0
ENSDARG00000034588	7463	4	2	8
ENSDARG00000038185	1197	0	0	0
ENSDARG00000038186	1400	63	14	24
ENSDARG00000070676	897	0	0	0
ENSDARG00000069012	657	0	0	0
ENSDARG00000025607	823	0	2	4
ENSDARG00000061798	4475	0	33	66
ENSDARG00000097456	633	14	6	4
ENSDARG00000088967	5018	99	105	229
ENSDARG00000098339	120	0	0	0
ENSDARG00000079097	8658	46	32	58
ENSDARG00000038176	1091	0	0	1
ENSDARG00000107474	558	0	0	0
ENSDARG00000075139	4172	29	6	28
ENSDARG00000098353	862	0	0	0
ENSDARG00000028848	1938	296	204	278
ENSDARG00000088833	1492	2	0	0
ENSDARG00000077193	1991	2	0	10
ENSDARG00000070605	1867	11	2	6
ENSDARG00000094579	1732	0	0	0
ENSDARG00000010680	658	0	4	4
ENSDARG00000096994	1359	0	0	0
ENSDARG00000097738	2615	0	0	0
ENSDARG00000012405	6021	0	0	4
ENSDARG00000079366	7675	22	14	24
ENSDARG00000079912	2821	0	0	4
ENSDARG00000107397	117	0	0	0
ENSDARG00000029911	3767	630	619	1183
ENSDARG00000074734	2143	34	18	36
ENSDARG00000055813	1739	0	0	0
ENSDARG00000033160	2926	0	0	0
ENSDARG00000101975	2431	114	38	40
ENSDARG00000061478	9028	218	466	724
ENSDARG00000029215	4661	136	22	56
ENSDARG00000056008	862	354	323	584
ENSDARG00000056012	1320	0	4	14
ENSDARG00000056015	1170	0	0	0
ENSDARG00000011579	1417	0	0	0
ENSDARG00000081346	79	0	0	0
ENSDARG00000056023	2596	2	0	0
ENSDARG00000097849	503	0	0	0
ENSDARG00000056027	1817	0	0	0
ENSDARG00000056030	1573	2	0	0
ENSDARG00000029263	4481	0	0	0
ENSDARG00000097891	1412	0	1	2
ENSDARG00000010630	989	0	0	0
ENSDARG00000013057	1790	0	0	0
ENSDARG00000013533	1336	0	0	0
ENSDARG00000081638	95	0	0	0
ENSDARG00000097515	304	0	0	0
ENSDARG00000000175	1832	0	0	0
ENSDARG00000008174	1507	0	0	0
ENSDARG00000105205	125	0	0	0
ENSDARG00000097621	485	0	1	1
ENSDARG00000097724	753	0	0	0
ENSDARG00000004189	2509	584	802	1213
ENSDARG00000030616	3303	6	4	8
ENSDARG00000006786	2255	80	26	58
ENSDARG00000080838	80	0	0	0
ENSDARG00000097637	3292	0	2	2
ENSDARG00000096864	635	0	0	0
ENSDARG00000097087	555	0	2	0
ENSDARG00000025615	1598	6	2	4
ENSDARG00000038141	1981	2	116	172
ENSDARG00000074773	1748	10	8	4
ENSDARG00000017049	1832	16	10	36
ENSDARG00000056144	1210	0	0	0
ENSDARG00000038139	3891	0	0	0
ENSDARG00000097380	300	1	0	4
ENSDARG00000076586	5950	0	0	0
ENSDARG00000009311	1024	5	2	4
ENSDARG00000080075	121	0	0	0
ENSDARG00000016483	3384	0	0	1
ENSDARG00000096921	803	0	0	0
ENSDARG00000097543	1650	14	2	4
ENSDARG00000040430	1614	0	0	0
ENSDARG00000031116	2076	40	38	54
ENSDARG00000055359	2879	0	0	2
ENSDARG00000102588	1928	0	0	0
ENSDARG00000090449	3173	0	0	0
ENSDARG00000099247	2291	518	637	919
ENSDARG00000104350	1663	0	4	10
ENSDARG00000078206	1297	0	4	4
ENSDARG00000104144	869	0	0	0
ENSDARG00000038133	2248	15	4	31
ENSDARG00000087575	5569	0	0	0
ENSDARG00000034946	819	0	0	0
ENSDARG00000099678	1476	10	0	0
ENSDARG00000061684	4348	26	10	32
ENSDARG00000075867	4918	48	12	22
ENSDARG00000107507	116	0	0	0
ENSDARG00000105972	2098	0	0	0
ENSDARG00000033140	2138	2	0	2
ENSDARG00000038025	2064	0	0	0
ENSDARG00000061108	12177	509	249	455
ENSDARG00000097379	380	0	0	0
ENSDARG00000007916	2130	42	34	29
ENSDARG00000021973	1984	318	296	512
ENSDARG00000038030	591	68	64	128
ENSDARG00000055160	3445	2	0	2
ENSDARG00000009313	2601	4	6	16
ENSDARG00000097402	319	0	0	0
ENSDARG00000060991	3708	240	74	128
ENSDARG00000055172	5367	0	0	0
ENSDARG00000093235	1663	24	38	60
ENSDARG00000075720	4385	0	2	0
ENSDARG00000055175	948	0	0	0
ENSDARG00000038069	2063	35	4	17
ENSDARG00000038068	3562	1268	4928	8816
ENSDARG00000038067	3399	212	119	237
ENSDARG00000038066	2057	258	194	234
ENSDARG00000077361	12865	432	360	805
ENSDARG00000038059	2904	74	56	122
ENSDARG00000022525	1065	0	0	0
ENSDARG00000088072	4404	6	0	0
ENSDARG00000097506	565	0	0	0
ENSDARG00000097640	1212	2	0	2
ENSDARG00000022531	5062	0	0	0
ENSDARG00000097200	138	0	0	0
ENSDARG00000097089	588	0	0	0
ENSDARG00000091140	5473	0	0	0
ENSDARG00000097387	553	0	0	0
ENSDARG00000014761	1938	30	14	18
ENSDARG00000067813	5572	6	0	2
ENSDARG00000104581	2374	163	56	158
ENSDARG00000109171	4572	0	2	4
ENSDARG00000096978	5384	0	14	28
ENSDARG00000097189	2278	2	2	6
ENSDARG00000005643	1722	156	158	282
ENSDARG00000019507	2617	366	328	693
ENSDARG00000027529	1413	0	2	3
ENSDARG00000061354	2585	8	16	28
ENSDARG00000055743	1792	51	27	53
ENSDARG00000075783	3372	0	2	10
ENSDARG00000055731	1506	0	0	0
ENSDARG00000020574	6914	0	2	0
ENSDARG00000079699	1290	2	0	0
ENSDARG00000029688	2292	1	0	1
ENSDARG00000092362	2302	2	0	2
ENSDARG00000021924	2358	8	16	14
ENSDARG00000061213	3084	92	26	49
ENSDARG00000087869	2071	428	154	240
ENSDARG00000055510	1847	346	412	605
ENSDARG00000074466	1592	0	2	4
ENSDARG00000106879	116	0	0	0
ENSDARG00000070573	2217	255	259	336
ENSDARG00000087927	1443	47	107	114
ENSDARG00000070570	1822	481	186	309
ENSDARG00000070568	6063	806	456	779
ENSDARG00000070565	3025	0	6	5
ENSDARG00000107220	581	0	0	0
ENSDARG00000099996	3458	416	220	383
ENSDARG00000103966	767	0	0	0
ENSDARG00000061257	1580	16	6	16
ENSDARG00000101707	881	126	20	30
ENSDARG00000010160	1315	124	243	330
ENSDARG00000061248	2868	8	4	0
ENSDARG00000108804	406	0	0	0
ENSDARG00000081158	118	0	0	0
ENSDARG00000107350	1835	0	0	0
ENSDARG00000013252	3004	0	0	0
ENSDARG00000061208	3407	295	144	219
ENSDARG00000038097	2842	134	68	106
ENSDARG00000038095	1154	0	0	2
ENSDARG00000038094	6548	113	24	46
ENSDARG00000055474	1252	14	8	15
ENSDARG00000090851	3837	2	2	6
ENSDARG00000055472	1708	30	20	22
ENSDARG00000106441	335	0	0	0
ENSDARG00000044588	2817	0	0	0
ENSDARG00000097153	669	0	0	0
ENSDARG00000089698	1876	244	78	112
ENSDARG00000034493	9558	0	0	4
ENSDARG00000107783	117	0	0	0
ENSDARG00000096260	944	2	0	0
ENSDARG00000107836	1329	4	2	2
ENSDARG00000106171	204	0	0	0
ENSDARG00000106124	116	0	0	0
ENSDARG00000055383	2637	126	140	148
ENSDARG00000073710	5742	918	610	940
ENSDARG00000038072	3712	24	10	10
ENSDARG00000087093	2048	22	44	83
ENSDARG00000019556	4817	210	40	84
ENSDARG00000004034	3466	78	73	101
ENSDARG00000018002	1134	77	44	64
ENSDARG00000012539	1309	0	0	0
ENSDARG00000061185	1652	59	48	55
ENSDARG00000053129	1556	46	31	84
ENSDARG00000006031	2642	126	142	216
ENSDARG00000077863	5683	82	28	40
ENSDARG00000108160	1000	0	0	0
ENSDARG00000105969	1093	0	0	0
ENSDARG00000038089	1568	0	0	0
ENSDARG00000014746	4606	0	0	0
ENSDARG00000096347	493	0	0	0
ENSDARG00000019191	4427	170	260	446
ENSDARG00000060915	2369	2	2	3
ENSDARG00000096409	1244	6	4	2
ENSDARG00000096338	1487	10	0	0
ENSDARG00000037390	2170	0	0	0
ENSDARG00000105840	701	0	0	2
ENSDARG00000096266	1453	0	2	0
ENSDARG00000096242	1981	0	0	0
ENSDARG00000038024	2829	26	30	88
ENSDARG00000075345	1319	0	0	0
ENSDARG00000106809	117	0	0	0
